#lineID, stationID, statusN, statusS, timestamp
0, 0, M, M, 12:17
0, 1, L, L, 12:17
0, 2, L, L, 12:17
0, 3, L, L, 12:17
0, 4, L, M, 12:17
0, 5, L, M, 12:17
0, 6, L, L, 12:17
0, 7, L, L, 12:17
0, 8, L, L, 12:17
0, 9, L, L, 12:17
0, 10, L, L, 12:17
0, 11, M, H, 12:17
0, 12, M, H, 12:17
0, 13, L, H, 12:17
0, 14, L, H, 12:17
0, 15, M, H, 12:17
0, 16, M, H, 12:17
0, 17, L, H, 12:17
0, 18, L, L, 12:17
0, 19, H, H, 12:17
0, 20, H, H, 12:17
0, 21, H, H, 12:17
0, 22, H, H, 12:17
0, 23, H, H, 12:17
0, 24, H, H, 12:17
0, 25, H, H, 12:17
0, 26, H, H, 12:17
0, 27, H, L, 12:17
0, 28, H, L, 12:17
0, 29, H, L, 12:17
0, 30, M, L, 12:17
0, 31, H, L, 12:17
0, 32, H, M, 12:17
0, 33, M, M, 12:17
0, 34, L, L, 12:17
0, 35, L, L, 12:17
0, 36, L, L, 12:17
1, 0, L, L, 12:13
1, 1, L, L, 12:13
1, 2, L, L, 12:13
1, 3, L, L, 12:13
1, 4, L, L, 12:13
1, 5, L, L, 12:13
1, 6, M, M, 12:13
1, 7, M, M, 12:13
1, 8, L, L, 12:13
1, 9, L, L, 12:13
1, 10, L, L, 12:13
1, 11, M, M, 12:13
2, 0, M, M, 12:15
2, 1, M, M, 12:15
2, 2, L, L, 12:15
2, 3, L, L, 12:15
2, 4, M, M, 12:15
2, 5, M, L, 12:15
2, 6, M, M, 12:15
2, 7, M, M, 12:15
2, 8, M, M, 12:15
2, 9, L, L, 12:15
2, 10, L, L, 12:15
2, 11, M, M, 12:15
2, 12, L, M, 12:15
2, 13, L, L, 12:15
2, 14, M, L, 12:15
2, 15, M, M, 12:15
2, 16, L, L, 12:15
2, 17, M, M, 12:15
2, 18, M, M, 12:15
2, 19, L, L, 12:15
2, 20, M, M, 12:15
2, 21, M, L, 12:15
2, 22, L, L, 12:15
2, 23, M, M, 12:15
2, 24, M, M, 12:15
3, 0, M, L, 12:15
3, 1, H, M, 12:15
3, 2, H, M, 12:15
3, 3, H, M, 12:15
3, 4, H, L, 12:15
3, 5, H, M, 12:15
3, 6, L, L, 12:15
3, 7, L, M, 12:15
4, 0, L, L, 12:07
4, 1, L, L, 12:07
4, 2, M, L, 12:07
4, 3, L, L, 12:07
4, 4, M, M, 12:07
4, 5, M, M, 12:07
4, 6, L, M, 12:07
4, 7, L, M, 12:07
4, 8, L, L, 12:07
4, 9, L, L, 12:07
4, 10, M, M, 12:07
4, 11, M, M, 12:07
4, 12, L, L, 12:07
4, 13, L, L, 12:07
4, 14, M, L, 12:07
4, 15, M, M, 12:07
4, 16, M, H, 12:07
4, 17, L, H, 12:07
4, 18, M, H, 12:07
5, 0, M, M, 12:09
5, 1, M, M, 12:09
5, 2, M, M, 12:09
5, 3, L, L, 12:09
5, 4, M, M, 12:09
5, 5, L, L, 12:09
5, 6, L, M, 12:09
5, 7, M, L, 12:09
5, 8, M, M, 12:09
5, 9, M, M, 12:09
5, 10, M, M, 12:09
5, 11, L, M, 12:09
5, 12, L, L, 12:09
5, 13, L, L, 12:09
5, 14, M, L, 12:09
6, 0, L, L, 12:13
6, 1, L, L, 12:13
6, 2, L, L, 12:13
6, 3, L, L, 12:13
6, 4, L, L, 12:13
6, 5, M, M, 12:13
6, 6, L, L, 12:13
7, 0, L, L, 12:07
7, 1, M, L, 12:07
7, 2, M, H, 12:07
7, 3, L, H, 12:07
7, 4, L, H, 12:07
7, 5, L, H, 12:07
7, 6, M, H, 12:07
7, 7, L, L, 12:07
7, 8, L, L, 12:07
7, 9, M, H, 12:07
7, 10, M, H, 12:07
7, 11, L, H, 12:07
8, 0, L, H, 12:13
8, 1, L, H, 12:13
8, 2, L, M, 12:13
8, 3, L, L, 12:13
8, 4, L, L, 12:13
8, 5, H, L, 12:13
8, 6, L, L, 12:13
