#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 1:41
0, 1, L, L, 1:41
0, 2, M, M, 1:41
0, 3, L, L, 1:41
0, 4, M, M, 1:41
0, 5, M, M, 1:41
0, 6, L, L, 1:41
0, 7, L, L, 1:41
0, 8, L, L, 1:41
0, 9, L, L, 1:41
0, 10, L, L, 1:41
0, 11, M, M, 1:41
0, 12, L, M, 1:41
0, 13, L, M, 1:41
0, 14, L, L, 1:41
0, 15, L, L, 1:41
0, 16, L, L, 1:41
0, 17, L, L, 1:41
0, 18, L, L, 1:41
0, 19, L, H, 1:41
0, 20, L, H, 1:41
0, 21, L, H, 1:41
0, 22, L, M, 1:41
0, 23, M, M, 1:41
0, 24, L, L, 1:41
0, 25, L, L, 1:41
0, 26, L, L, 1:41
0, 27, L, L, 1:41
0, 28, M, L, 1:41
0, 29, M, M, 1:41
0, 30, L, L, 1:41
0, 31, L, L, 1:41
0, 32, M, M, 1:41
0, 33, M, M, 1:41
0, 34, L, L, 1:41
0, 35, L, L, 1:41
0, 36, L, L, 1:41
1, 0, L, M, 1:37
1, 1, L, M, 1:37
1, 2, L, L, 1:37
1, 3, L, L, 1:37
1, 4, L, L, 1:37
1, 5, L, L, 1:37
1, 6, M, M, 1:37
1, 7, M, M, 1:37
1, 8, M, L, 1:37
1, 9, L, L, 1:37
1, 10, L, L, 1:37
1, 11, M, M, 1:37
2, 0, L, L, 1:37
2, 1, L, L, 1:37
2, 2, L, L, 1:37
2, 3, L, L, 1:37
2, 4, L, L, 1:37
2, 5, L, L, 1:37
2, 6, L, L, 1:37
2, 7, M, M, 1:37
2, 8, M, M, 1:37
2, 9, L, L, 1:37
2, 10, L, L, 1:37
2, 11, M, M, 1:37
2, 12, M, M, 1:37
2, 13, L, L, 1:37
2, 14, M, L, 1:37
2, 15, M, M, 1:37
2, 16, M, M, 1:37
2, 17, L, L, 1:37
2, 18, M, M, 1:37
2, 19, L, L, 1:37
2, 20, M, M, 1:37
2, 21, L, L, 1:37
2, 22, L, L, 1:37
2, 23, M, L, 1:37
2, 24, M, M, 1:37
3, 0, M, M, 1:41
3, 1, M, M, 1:41
3, 2, L, L, 1:41
3, 3, M, M, 1:41
3, 4, L, L, 1:41
3, 5, M, M, 1:41
3, 6, L, L, 1:41
3, 7, M, M, 1:41
4, 0, L, L, 1:41
4, 1, L, L, 1:41
4, 2, M, M, 1:41
4, 3, L, L, 1:41
4, 4, L, L, 1:41
4, 5, M, M, 1:41
4, 6, L, M, 1:41
4, 7, L, L, 1:41
4, 8, L, L, 1:41
4, 9, L, L, 1:41
4, 10, M, M, 1:41
4, 11, M, M, 1:41
4, 12, L, L, 1:41
4, 13, L, L, 1:41
4, 14, L, L, 1:41
4, 15, L, M, 1:41
4, 16, M, M, 1:41
4, 17, L, L, 1:41
4, 18, M, L, 1:41
5, 0, M, M, 1:41
5, 1, M, M, 1:41
5, 2, L, L, 1:41
5, 3, L, L, 1:41
5, 4, M, M, 1:41
5, 5, L, L, 1:41
5, 6, L, L, 1:41
5, 7, L, L, 1:41
5, 8, M, L, 1:41
5, 9, M, M, 1:41
5, 10, M, M, 1:41
5, 11, L, L, 1:41
5, 12, L, L, 1:41
5, 13, L, L, 1:41
5, 14, M, L, 1:41
6, 0, M, L, 1:48
6, 1, M, L, 1:48
6, 2, L, L, 1:48
6, 3, L, L, 1:48
6, 4, L, L, 1:48
6, 5, M, M, 1:48
6, 6, L, L, 1:48
7, 0, L, L, 1:48
7, 1, M, M, 1:48
7, 2, L, L, 1:48
7, 3, L, L, 1:48
7, 4, L, L, 1:48
7, 5, M, L, 1:48
7, 6, M, M, 1:48
7, 7, L, L, 1:48
7, 8, L, L, 1:48
7, 9, M, M, 1:48
7, 10, M, M, 1:48
7, 11, L, L, 1:48
8, 0, L, L, 1:48
8, 1, L, L, 1:48
8, 2, L, L, 1:48
8, 3, L, L, 1:48
8, 4, L, L, 1:48
8, 5, L, L, 1:48
8, 6, L, L, 1:48
