#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 6:45
0, 1, L, L, 6:45
0, 2, L, L, 6:45
0, 3, M, L, 6:45
0, 4, M, L, 6:45
0, 5, L, L, 6:45
0, 6, L, L, 6:45
0, 7, L, L, 6:45
0, 8, H, L, 6:45
0, 9, H, L, 6:45
0, 10, H, L, 6:45
0, 11, H, L, 6:45
0, 12, H, L, 6:45
0, 13, H, L, 6:45
0, 14, H, L, 6:45
0, 15, H, L, 6:45
0, 16, H, H, 6:45
0, 17, H, H, 6:45
0, 18, H, L, 6:45
0, 19, H, L, 6:45
0, 20, H, L, 6:45
0, 21, H, L, 6:45
0, 22, H, L, 6:45
0, 23, H, L, 6:45
0, 24, H, L, 6:45
0, 25, H, L, 6:45
0, 26, H, L, 6:45
0, 27, L, L, 6:45
0, 28, L, L, 6:45
0, 29, L, L, 6:45
0, 30, L, L, 6:45
0, 31, L, L, 6:45
0, 32, L, M, 6:45
0, 33, L, M, 6:45
0, 34, L, L, 6:45
0, 35, L, L, 6:45
0, 36, L, L, 6:45
1, 0, L, L, 6:39
1, 1, L, L, 6:39
1, 2, L, L, 6:39
1, 3, L, L, 6:39
1, 4, L, L, 6:39
1, 5, L, L, 6:39
1, 6, M, M, 6:39
1, 7, M, M, 6:39
1, 8, L, L, 6:39
1, 9, L, L, 6:39
1, 10, L, L, 6:39
1, 11, L, L, 6:39
2, 0, M, M, 6:38
2, 1, L, L, 6:38
2, 2, L, L, 6:38
2, 3, L, L, 6:38
2, 4, L, L, 6:38
2, 5, L, L, 6:38
2, 6, L, L, 6:38
2, 7, L, L, 6:38
2, 8, L, L, 6:38
2, 9, L, L, 6:38
2, 10, L, L, 6:38
2, 11, L, L, 6:38
2, 12, L, L, 6:38
2, 13, L, L, 6:38
2, 14, L, L, 6:38
2, 15, L, L, 6:38
2, 16, L, L, 6:38
2, 17, L, L, 6:38
2, 18, L, L, 6:38
2, 19, L, L, 6:38
2, 20, L, L, 6:38
2, 21, L, L, 6:38
2, 22, L, L, 6:38
2, 23, L, L, 6:38
2, 24, M, M, 6:38
3, 0, H, L, 6:38
3, 1, H, L, 6:38
3, 2, H, L, 6:38
3, 3, H, L, 6:38
3, 4, H, L, 6:38
3, 5, H, M, 6:38
3, 6, L, L, 6:38
3, 7, L, L, 6:38
4, 0, H, L, 6:38
4, 1, H, L, 6:38
4, 2, H, L, 6:38
4, 3, H, L, 6:38
4, 4, H, H, 6:38
4, 5, H, H, 6:38
4, 6, L, H, 6:38
4, 7, L, H, 6:38
4, 8, L, L, 6:38
4, 9, L, L, 6:38
4, 10, H, L, 6:38
4, 11, H, L, 6:38
4, 12, H, L, 6:38
4, 13, H, L, 6:38
4, 14, H, L, 6:38
4, 15, H, L, 6:38
4, 16, H, M, 6:38
4, 17, H, H, 6:38
4, 18, M, H, 6:38
5, 0, M, M, 6:38
5, 1, M, M, 6:38
5, 2, L, L, 6:38
5, 3, L, L, 6:38
5, 4, L, L, 6:38
5, 5, L, L, 6:38
5, 6, L, M, 6:38
5, 7, L, L, 6:38
5, 8, L, L, 6:38
5, 9, M, M, 6:38
5, 10, M, H, 6:38
5, 11, L, H, 6:38
5, 12, L, H, 6:38
5, 13, L, H, 6:38
5, 14, L, H, 6:38
6, 0, L, M, 6:38
6, 1, L, M, 6:38
6, 2, L, L, 6:38
6, 3, L, L, 6:38
6, 4, L, L, 6:38
6, 5, M, M, 6:38
6, 6, M, M, 6:38
7, 0, L, L, 6:31
7, 1, L, L, 6:31
7, 2, L, L, 6:31
7, 3, L, L, 6:31
7, 4, L, L, 6:31
7, 5, L, L, 6:31
7, 6, L, L, 6:31
7, 7, L, L, 6:31
7, 8, L, M, 6:31
7, 9, M, M, 6:31
7, 10, M, M, 6:31
7, 11, M, M, 6:31
8, 0, L, H, 6:35
8, 1, L, L, 6:35
8, 2, L, L, 6:35
8, 3, L, L, 6:35
8, 4, L, L, 6:35
8, 5, L, L, 6:35
8, 6, L, L, 6:35
