#lineID, stationID, statusN, statusS, timestamp
0, 0, L, H, 10:15
0, 1, L, L, 10:15
0, 2, M, M, 10:15
0, 3, L, L, 10:15
0, 4, M, L, 10:15
0, 5, M, L, 10:15
0, 6, L, L, 10:15
0, 7, L, L, 10:15
0, 8, L, L, 10:15
0, 9, M, L, 10:15
0, 10, L, M, 10:15
0, 11, M, M, 10:15
0, 12, L, L, 10:15
0, 13, L, L, 10:15
0, 14, L, L, 10:15
0, 15, M, L, 10:15
0, 16, M, L, 10:15
0, 17, L, L, 10:15
0, 18, L, L, 10:15
0, 19, L, L, 10:15
0, 20, L, L, 10:15
0, 21, L, M, 10:15
0, 22, M, M, 10:15
0, 23, M, M, 10:15
0, 24, L, L, 10:15
0, 25, L, L, 10:15
0, 26, M, L, 10:15
0, 27, L, L, 10:15
0, 28, L, L, 10:15
0, 29, M, M, 10:15
0, 30, M, L, 10:15
0, 31, L, L, 10:15
0, 32, M, H, 10:15
0, 33, M, H, 10:15
0, 34, L, L, 10:15
0, 35, L, L, 10:15
0, 36, L, L, 10:15
1, 0, L, L, 10:16
1, 1, L, L, 10:16
1, 2, L, M, 10:16
1, 3, L, L, 10:16
1, 4, L, L, 10:16
1, 5, L, L, 10:16
1, 6, M, M, 10:16
1, 7, M, M, 10:16
1, 8, L, L, 10:16
1, 9, L, L, 10:16
1, 10, L, L, 10:16
1, 11, L, M, 10:16
2, 0, M, M, 10:16
2, 1, M, M, 10:16
2, 2, L, L, 10:16
2, 3, L, L, 10:16
2, 4, L, L, 10:16
2, 5, L, L, 10:16
2, 6, L, L, 10:16
2, 7, M, M, 10:16
2, 8, M, M, 10:16
2, 9, L, L, 10:16
2, 10, L, L, 10:16
2, 11, M, M, 10:16
2, 12, M, M, 10:16
2, 13, L, L, 10:16
2, 14, M, L, 10:16
2, 15, M, M, 10:16
2, 16, L, M, 10:16
2, 17, L, L, 10:16
2, 18, M, M, 10:16
2, 19, L, L, 10:16
2, 20, M, M, 10:16
2, 21, L, L, 10:16
2, 22, L, M, 10:16
2, 23, L, L, 10:16
2, 24, M, L, 10:16
3, 0, M, M, 10:02
3, 1, M, M, 10:02
3, 2, L, L, 10:02
3, 3, M, M, 10:02
3, 4, L, L, 10:02
3, 5, M, M, 10:02
3, 6, L, L, 10:02
3, 7, L, L, 10:02
4, 0, L, L, 10:17
4, 1, L, L, 10:17
4, 2, M, M, 10:17
4, 3, M, L, 10:17
4, 4, L, L, 10:17
4, 5, M, M, 10:17
4, 6, L, L, 10:17
4, 7, L, L, 10:17
4, 8, L, L, 10:17
4, 9, L, L, 10:17
4, 10, L, L, 10:17
4, 11, M, M, 10:17
4, 12, M, M, 10:17
4, 13, L, L, 10:17
4, 14, L, L, 10:17
4, 15, M, M, 10:17
4, 16, M, M, 10:17
4, 17, L, L, 10:17
4, 18, L, L, 10:17
5, 0, M, M, 10:17
5, 1, M, M, 10:17
5, 2, L, L, 10:17
5, 3, L, L, 10:17
5, 4, L, L, 10:17
5, 5, L, L, 10:17
5, 6, L, L, 10:17
5, 7, M, L, 10:17
5, 8, M, M, 10:17
5, 9, L, L, 10:17
5, 10, M, M, 10:17
5, 11, L, L, 10:17
5, 12, L, L, 10:17
5, 13, L, L, 10:17
5, 14, M, M, 10:17
6, 0, L, L, 10:17
6, 1, L, L, 10:17
6, 2, L, L, 10:17
6, 3, L, L, 10:17
6, 4, L, L, 10:17
6, 5, L, L, 10:17
6, 6, L, L, 10:17
7, 0, M, M, 10:18
7, 1, L, L, 10:18
7, 2, L, L, 10:18
7, 3, L, L, 10:18
7, 4, L, L, 10:18
7, 5, L, M, 10:18
7, 6, M, M, 10:18
7, 7, L, L, 10:18
7, 8, L, L, 10:18
7, 9, M, M, 10:18
7, 10, M, M, 10:18
7, 11, L, L, 10:18
8, 0, L, L, 9:58
8, 1, L, L, 9:58
8, 2, L, L, 9:58
8, 3, L, L, 9:58
8, 4, L, L, 9:58
8, 5, L, L, 9:58
8, 6, L, L, 9:58
