#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 9:42
0, 1, L, L, 9:42
0, 2, M, M, 9:42
0, 3, L, L, 9:42
0, 4, L, L, 9:42
0, 5, L, L, 9:42
0, 6, L, L, 9:42
0, 7, H, L, 9:42
0, 8, H, L, 9:42
0, 9, H, L, 9:42
0, 10, H, M, 9:42
0, 11, H, M, 9:42
0, 12, H, M, 9:42
0, 13, H, L, 9:42
0, 14, H, L, 9:42
0, 15, H, H, 9:42
0, 16, H, H, 9:42
0, 17, H, L, 9:42
0, 18, L, L, 9:42
0, 19, H, L, 9:42
0, 20, H, L, 9:42
0, 21, H, L, 9:42
0, 22, H, M, 9:42
0, 23, H, L, 9:42
0, 24, H, L, 9:42
0, 25, H, L, 9:42
0, 26, H, L, 9:42
0, 27, L, L, 9:42
0, 28, L, L, 9:42
0, 29, L, M, 9:42
0, 30, L, L, 9:42
0, 31, M, L, 9:42
0, 32, L, H, 9:42
0, 33, L, H, 9:42
0, 34, L, L, 9:42
0, 35, L, L, 9:42
0, 36, L, L, 9:42
1, 0, L, L, 9:34
1, 1, L, L, 9:34
1, 2, L, L, 9:34
1, 3, L, L, 9:34
1, 4, L, L, 9:34
1, 5, L, L, 9:34
1, 6, M, M, 9:34
1, 7, M, M, 9:34
1, 8, L, L, 9:34
1, 9, L, L, 9:34
1, 10, L, L, 9:34
1, 11, L, M, 9:34
2, 0, H, H, 9:34
2, 1, H, M, 9:34
2, 2, H, L, 9:34
2, 3, H, L, 9:34
2, 4, H, M, 9:34
2, 5, H, M, 9:34
2, 6, H, M, 9:34
2, 7, L, L, 9:34
2, 8, L, L, 9:34
2, 9, M, M, 9:34
2, 10, M, M, 9:34
2, 11, L, L, 9:34
2, 12, M, M, 9:34
2, 13, L, L, 9:34
2, 14, M, L, 9:34
2, 15, M, M, 9:34
2, 16, L, L, 9:34
2, 17, L, L, 9:34
2, 18, M, M, 9:34
2, 19, L, L, 9:34
2, 20, L, L, 9:34
2, 21, L, L, 9:34
2, 22, M, L, 9:34
2, 23, M, L, 9:34
2, 24, M, L, 9:34
3, 0, H, L, 9:34
3, 1, H, M, 9:34
3, 2, H, M, 9:34
3, 3, H, L, 9:34
3, 4, H, L, 9:34
3, 5, H, M, 9:34
3, 6, L, L, 9:34
3, 7, L, M, 9:34
4, 0, M, L, 9:34
4, 1, M, L, 9:34
4, 2, L, L, 9:34
4, 3, L, L, 9:34
4, 4, L, L, 9:34
4, 5, L, M, 9:34
4, 6, H, L, 9:34
4, 7, H, L, 9:34
4, 8, H, L, 9:34
4, 9, H, L, 9:34
4, 10, H, H, 9:34
4, 11, H, H, 9:34
4, 12, L, H, 9:34
4, 13, H, L, 9:34
4, 14, H, H, 9:34
4, 15, H, H, 9:34
4, 16, H, H, 9:34
4, 17, H, H, 9:34
4, 18, H, L, 9:34
5, 0, M, M, 9:39
5, 1, M, M, 9:39
5, 2, L, L, 9:39
5, 3, L, L, 9:39
5, 4, L, L, 9:39
5, 5, H, L, 9:39
5, 6, H, H, 9:39
5, 7, H, H, 9:39
5, 8, H, H, 9:39
5, 9, H, H, 9:39
5, 10, H, H, 9:39
5, 11, L, H, 9:39
5, 12, L, H, 9:39
5, 13, L, H, 9:39
5, 14, L, M, 9:39
6, 0, M, H, 9:25
6, 1, L, H, 9:25
6, 2, L, L, 9:25
6, 3, L, L, 9:25
6, 4, L, L, 9:25
6, 5, M, M, 9:25
6, 6, M, M, 9:25
7, 0, M, M, 9:25
7, 1, L, L, 9:25
7, 2, M, M, 9:25
7, 3, M, M, 9:25
7, 4, L, L, 9:25
7, 5, M, M, 9:25
7, 6, M, M, 9:25
7, 7, L, L, 9:25
7, 8, L, M, 9:25
7, 9, M, H, 9:25
7, 10, M, H, 9:25
7, 11, M, H, 9:25
8, 0, L, H, 9:30
8, 1, L, L, 9:30
8, 2, L, L, 9:30
8, 3, L, L, 9:30
8, 4, L, L, 9:30
8, 5, L, L, 9:30
8, 6, L, L, 9:30
