#lineID, stationID, statusN, statusS, timestamp
0, 0, H, H, 11:31
0, 1, L, L, 11:31
0, 2, L, L, 11:31
0, 3, L, L, 11:31
0, 4, L, L, 11:31
0, 5, L, L, 11:31
0, 6, M, H, 11:31
0, 7, L, H, 11:31
0, 8, L, L, 11:31
0, 9, L, L, 11:31
0, 10, L, L, 11:31
0, 11, M, L, 11:31
0, 12, L, M, 11:31
0, 13, L, L, 11:31
0, 14, L, L, 11:31
0, 15, L, M, 11:31
0, 16, L, L, 11:31
0, 17, L, L, 11:31
0, 18, L, L, 11:31
0, 19, L, L, 11:31
0, 20, L, L, 11:31
0, 21, L, L, 11:31
0, 22, L, L, 11:31
0, 23, L, L, 11:31
0, 24, L, L, 11:31
0, 25, L, L, 11:31
0, 26, L, L, 11:31
0, 27, L, L, 11:31
0, 28, M, L, 11:31
0, 29, L, L, 11:31
0, 30, M, L, 11:31
0, 31, M, L, 11:31
0, 32, L, M, 11:31
0, 33, L, L, 11:31
0, 34, L, L, 11:31
0, 35, L, L, 11:31
0, 36, L, L, 11:31
