#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 7:46
0, 1, L, L, 7:46
0, 2, L, L, 7:46
0, 3, L, L, 7:46
0, 4, L, L, 7:46
0, 5, L, L, 7:46
0, 6, L, L, 7:46
0, 7, L, L, 7:46
0, 8, H, L, 7:46
0, 9, H, L, 7:46
0, 10, H, L, 7:46
0, 11, H, M, 7:46
0, 12, H, M, 7:46
0, 13, H, L, 7:46
0, 14, H, L, 7:46
0, 15, H, L, 7:46
0, 16, H, H, 7:46
0, 17, H, H, 7:46
0, 18, H, L, 7:46
0, 19, H, L, 7:46
0, 20, H, L, 7:46
0, 21, H, L, 7:46
0, 22, H, L, 7:46
0, 23, H, L, 7:46
0, 24, H, L, 7:46
0, 25, H, L, 7:46
0, 26, H, L, 7:46
0, 27, L, L, 7:46
0, 28, L, H, 7:46
0, 29, L, H, 7:46
0, 30, L, L, 7:46
0, 31, L, L, 7:46
0, 32, L, H, 7:46
0, 33, L, H, 7:46
0, 34, L, L, 7:46
0, 35, L, L, 7:46
0, 36, L, L, 7:46
1, 0, L, L, 7:46
1, 1, L, L, 7:46
1, 2, L, L, 7:46
1, 3, L, L, 7:46
1, 4, L, L, 7:46
1, 5, M, L, 7:46
1, 6, M, M, 7:46
1, 7, M, M, 7:46
1, 8, L, L, 7:46
1, 9, L, L, 7:46
1, 10, L, L, 7:46
1, 11, M, L, 7:46
2, 0, M, M, 7:45
2, 1, M, M, 7:45
2, 2, L, L, 7:45
2, 3, L, L, 7:45
2, 4, M, M, 7:45
2, 5, M, M, 7:45
2, 6, L, L, 7:45
2, 7, L, L, 7:45
2, 8, L, L, 7:45
2, 9, L, L, 7:45
2, 10, L, L, 7:45
2, 11, L, L, 7:45
2, 12, L, L, 7:45
2, 13, L, L, 7:45
2, 14, L, L, 7:45
2, 15, L, L, 7:45
2, 16, L, L, 7:45
2, 17, L, L, 7:45
2, 18, L, L, 7:45
2, 19, L, L, 7:45
2, 20, L, L, 7:45
2, 21, L, L, 7:45
2, 22, L, L, 7:45
2, 23, L, L, 7:45
2, 24, L, L, 7:45
3, 0, M, L, 7:45
3, 1, H, M, 7:45
3, 2, H, M, 7:45
3, 3, H, L, 7:45
3, 4, H, L, 7:45
3, 5, M, M, 7:45
3, 6, L, L, 7:45
3, 7, L, L, 7:45
4, 0, H, L, 7:45
4, 1, H, L, 7:45
4, 2, H, L, 7:45
4, 3, H, L, 7:45
4, 4, H, L, 7:45
4, 5, H, H, 7:45
4, 6, H, H, 7:45
4, 7, H, H, 7:45
4, 8, H, H, 7:45
4, 9, L, L, 7:45
4, 10, H, L, 7:45
4, 11, H, L, 7:45
4, 12, H, L, 7:45
4, 13, H, L, 7:45
4, 14, H, H, 7:45
4, 15, H, H, 7:45
4, 16, H, H, 7:45
4, 17, H, H, 7:45
4, 18, H, H, 7:45
5, 0, H, M, 7:45
5, 1, H, M, 7:45
5, 2, H, M, 7:45
5, 3, L, L, 7:45
5, 4, L, L, 7:45
5, 5, L, L, 7:45
5, 6, L, H, 7:45
5, 7, L, H, 7:45
5, 8, M, H, 7:45
5, 9, H, H, 7:45
5, 10, H, H, 7:45
5, 11, L, H, 7:45
5, 12, L, M, 7:45
5, 13, L, M, 7:45
5, 14, L, M, 7:45
6, 0, L, H, 7:45
6, 1, L, H, 7:45
6, 2, L, L, 7:45
6, 3, L, L, 7:45
6, 4, L, L, 7:45
6, 5, L, L, 7:45
6, 6, L, L, 7:45
7, 0, L, L, 7:45
7, 1, L, L, 7:45
7, 2, L, L, 7:45
7, 3, L, L, 7:45
7, 4, L, L, 7:45
7, 5, M, M, 7:45
7, 6, M, M, 7:45
7, 7, L, M, 7:45
7, 8, L, L, 7:45
7, 9, M, M, 7:45
7, 10, M, M, 7:45
7, 11, M, M, 7:45
8, 0, L, H, 7:27
8, 1, L, L, 7:27
8, 2, L, L, 7:27
8, 3, L, L, 7:27
8, 4, L, L, 7:27
8, 5, L, L, 7:27
8, 6, L, L, 7:27
