#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 9:45
0, 1, L, L, 9:45
0, 2, M, M, 9:45
0, 3, L, L, 9:45
0, 4, L, L, 9:45
0, 5, L, L, 9:45
0, 6, L, M, 9:45
0, 7, L, L, 9:45
0, 8, L, L, 9:45
0, 9, L, L, 9:45
0, 10, H, M, 9:45
0, 11, H, H, 9:45
0, 12, H, H, 9:45
0, 13, H, H, 9:45
0, 14, H, H, 9:45
0, 15, H, H, 9:45
0, 16, H, H, 9:45
0, 17, H, H, 9:45
0, 18, L, L, 9:45
0, 19, H, L, 9:45
0, 20, H, L, 9:45
0, 21, H, L, 9:45
0, 22, H, L, 9:45
0, 23, H, L, 9:45
0, 24, H, L, 9:45
0, 25, H, L, 9:45
0, 26, H, L, 9:45
0, 27, L, L, 9:45
0, 28, L, L, 9:45
0, 29, M, L, 9:45
0, 30, M, L, 9:45
0, 31, M, L, 9:45
0, 32, L, H, 9:45
0, 33, L, H, 9:45
0, 34, L, L, 9:45
0, 35, L, L, 9:45
0, 36, L, L, 9:45
1, 0, L, L, 9:39
1, 1, L, L, 9:39
1, 2, L, L, 9:39
1, 3, L, L, 9:39
1, 4, L, L, 9:39
1, 5, M, L, 9:39
1, 6, M, M, 9:39
1, 7, M, M, 9:39
1, 8, L, L, 9:39
1, 9, L, L, 9:39
1, 10, L, L, 9:39
1, 11, M, L, 9:39
2, 0, M, M, 9:41
2, 1, M, M, 9:41
2, 2, L, L, 9:41
2, 3, L, L, 9:41
2, 4, M, M, 9:41
2, 5, M, M, 9:41
2, 6, L, M, 9:41
2, 7, L, M, 9:41
2, 8, L, M, 9:41
2, 9, L, L, 9:41
2, 10, L, L, 9:41
2, 11, L, L, 9:41
2, 12, L, L, 9:41
2, 13, L, L, 9:41
2, 14, L, L, 9:41
2, 15, L, L, 9:41
2, 16, L, L, 9:41
2, 17, L, L, 9:41
2, 18, L, L, 9:41
2, 19, L, L, 9:41
2, 20, L, L, 9:41
2, 21, L, L, 9:41
2, 22, L, L, 9:41
2, 23, L, L, 9:41
2, 24, L, L, 9:41
3, 0, M, L, 9:39
3, 1, H, M, 9:39
3, 2, H, M, 9:39
3, 3, H, L, 9:39
3, 4, H, L, 9:39
3, 5, M, M, 9:39
3, 6, L, L, 9:39
3, 7, L, L, 9:39
4, 0, M, L, 9:42
4, 1, M, L, 9:42
4, 2, M, L, 9:42
4, 3, L, L, 9:42
4, 4, L, L, 9:42
4, 5, M, H, 9:42
4, 6, M, H, 9:42
4, 7, L, H, 9:42
4, 8, H, H, 9:42
4, 9, L, L, 9:42
4, 10, H, L, 9:42
4, 11, H, M, 9:42
4, 12, H, L, 9:42
4, 13, H, L, 9:42
4, 14, H, H, 9:42
4, 15, H, H, 9:42
4, 16, H, H, 9:42
4, 17, H, H, 9:42
4, 18, H, H, 9:42
5, 0, M, M, 9:39
5, 1, M, M, 9:39
5, 2, M, M, 9:39
5, 3, L, L, 9:39
5, 4, L, L, 9:39
5, 5, L, L, 9:39
5, 6, L, L, 9:39
5, 7, L, L, 9:39
5, 8, H, L, 9:39
5, 9, H, H, 9:39
5, 10, H, H, 9:39
5, 11, L, H, 9:39
5, 12, L, H, 9:39
5, 13, L, H, 9:39
5, 14, L, H, 9:39
6, 0, L, M, 9:39
6, 1, L, L, 9:39
6, 2, L, L, 9:39
6, 3, L, L, 9:39
6, 4, L, L, 9:39
6, 5, L, L, 9:39
6, 6, L, L, 9:39
7, 0, L, L, 9:39
7, 1, L, L, 9:39
7, 2, L, L, 9:39
7, 3, L, L, 9:39
7, 4, L, L, 9:39
7, 5, M, M, 9:39
7, 6, M, M, 9:39
7, 7, L, M, 9:39
7, 8, L, L, 9:39
7, 9, M, M, 9:39
7, 10, M, M, 9:39
7, 11, M, M, 9:39
8, 0, L, H, 9:09
8, 1, L, L, 9:09
8, 2, L, L, 9:09
8, 3, L, L, 9:09
8, 4, L, L, 9:09
8, 5, L, L, 9:09
8, 6, L, L, 9:09
